formula,nivel,overall_liking,proporcion,producto,atributo
182,jar,8.18018018018018,0.4625,Churritos Prueba,Color
182,tl,6.702127659574468,0.39166666666666666,Churritos Prueba,Color
182,tm,8,0.14583333333333334,Churritos Prueba,Color
182,jar,7.945205479452055,0.6083333333333333,Churritos Prueba,Crujiente
182,tl,6.533333333333333,0.25,Churritos Prueba,Crujiente
182,tm,7.823529411764706,0.14166666666666666,Churritos Prueba,Crujiente
182,jar,8.191304347826087,0.4791666666666667,Churritos Prueba,Olor
182,tl,6.8307692307692305,0.2708333333333333,Churritos Prueba,Olor
182,tm,7.2,0.25,Churritos Prueba,Olor
182,jar,8.104895104895105,0.5958333333333333,Churritos Prueba,Porosidad
182,tl,6.431034482758621,0.24166666666666667,Churritos Prueba,Porosidad
182,tm,7.333333333333333,0.1625,Churritos Prueba,Porosidad
182,jar,8.157894736842104,0.5541666666666667,Churritos Prueba,Queso
182,tl,6.561643835616438,0.30416666666666664,Churritos Prueba,Queso
182,tm,7.470588235294118,0.14166666666666666,Churritos Prueba,Queso
182,jar,8.153284671532846,0.5708333333333333,Churritos Prueba,Sal
182,tl,6.865384615384615,0.21666666666666667,Churritos Prueba,Sal
182,tm,6.745098039215686,0.2125,Churritos Prueba,Sal
182,jar,8.006711409395972,0.6208333333333333,Churritos Prueba,Textura
182,tl,6.492307692307692,0.2708333333333333,Churritos Prueba,Textura
182,tm,7.8076923076923075,0.10833333333333334,Churritos Prueba,Textura
781,jar,8.407692307692308,0.5416666666666666,Cheetos Puff,Color
781,tl,7.483870967741935,0.12916666666666668,Cheetos Puff,Color
781,tm,7.848101265822785,0.32916666666666666,Cheetos Puff,Color
781,jar,8.379084967320262,0.6375,Cheetos Puff,Crujiente
781,tl,7.127659574468085,0.19583333333333333,Cheetos Puff,Crujiente
781,tm,8.2,0.16666666666666666,Cheetos Puff,Crujiente
781,jar,8.511278195488721,0.5541666666666667,Cheetos Puff,Olor
781,tl,7.567164179104478,0.2791666666666667,Cheetos Puff,Olor
781,tm,7.65,0.16666666666666666,Cheetos Puff,Olor
781,jar,8.357142857142858,0.6416666666666667,Cheetos Puff,Porosidad
781,tl,7.175,0.16666666666666666,Cheetos Puff,Porosidad
781,tm,8.065217391304348,0.19166666666666668,Cheetos Puff,Porosidad
781,jar,8.421383647798741,0.6625,Cheetos Puff,Queso
781,tl,7,0.14166666666666666,Cheetos Puff,Queso
781,tm,7.829787234042553,0.19583333333333333,Cheetos Puff,Queso
781,jar,8.374269005847953,0.7125,Cheetos Puff,Sal
781,tl,7.571428571428571,0.175,Cheetos Puff,Sal
781,tm,7.222222222222222,0.1125,Cheetos Puff,Sal
781,jar,8.288235294117648,0.7083333333333334,Cheetos Puff,Textura
781,tl,7.1875,0.13333333333333333,Cheetos Puff,Textura
781,tm,8.052631578947368,0.15833333333333333,Cheetos Puff,Textura
